subject,robot,target_id,moves
243637,blue,13565,"['2,1', '3,1', '3,2', '2,5', '4,5', '3,5', '2,2']"
243637,blue,5663,"['0,0', '4,4', '0,4', '4,0', '2,2', '2,2', '2,2', '6,0', '6,6', '0,6', '0,1', '0,2', '1,4', '3,4', '2,1', '1,1', '3,3', '1,3']"
243637,blue,8232,"['2,1', '4,1', '3,1', '2,5', '4,5', '3,5', '4,3', '2,3', '2,2', '4,2', '4,4', '2,4', '1,3', '3,0', '5,3', '3,6']"
243637,blue,17648,"['3,1', '5,1', '5,5', '3,4', '5,4', '5,5', '2,2', '4,0', '6,2', '4,5', '4,3']"
243637,blue,1710,"['0,1', '0,4', '3,4', '3,1', '4,3']"
243637,blue,10934,"['1,1', '1,5', '6,5', '6,1', '3,0', '0,3', '3,3', '4,3']"
243637,blue,14000,"['2,1', '6,1', '6,5', '2,5', '6,5', '2,5', '2,4', '6,4', '3,1', '3,1', '3,2', '3,3', '4,5', '3,1']"
243637,blue,10950,"['6,0', '6,4', '0,4', '0,0', '5,4', '0,3', '1,0', '6,1', '1,3', '1,1', '5,1', '5,3']"
243637,blue,2290,"['1,3', '6,6', '6,3', '1,6', '2,4', '5,5', '5,4', '2,5']"
243637,blue,7246,"['0,2', '0,5', '2,5', '2,2', '1,2', '1,5', '3,5', '3,2', '4,4', '1,1']"
261650,white,13565,"['3,2', '3,2', '3,2', '3,3', '3,4', '3,5', '4,5', '4,4', '2,5', '2,4', '2,3', '2,2', '2,1', '3,1', '4,1', '4,2', '4,3']"
264961,white,13565,"['2,1', '1,1', '3,1', '3,2']"
264961,white,7246,"['0,2', '1,2', '0,1', '0,5', '0,6']"
264961,white,10934,"['1,1', '1,5', '1,2', '0,1', '2,1', '4,3', '1,0']"
264961,white,17648,"['3,1', '4,1', '6,1', '2,1', '3,0', '3,5', '4,2']"
264961,white,10950,"['0,0', '0,4', '1,1', '1,2', '0,5', '4,0', '6,0']"
264961,white,14000,"['2,1', '3,1']"
264961,white,2290,"['1,3', '1,2', '2,4', '1,6', '0,6', '4,3']"
264961,white,8232,"['2,1', '2,0', '1,1', '5,1', '2,2', '3,1', '3,2']"
264961,white,5663,"['0,0', '1,0', '0,1', '0,4', '0,4', '0,5', '1,1']"
264961,white,1710,"['0,1', '0,4', '4,1', '0,5', '3,1', '0,0', '1,1', '1,2']"
264961,blue,2290,"['1,3', '2,4', '3,4', '1,2', '1,6', '5,4']"
264961,blue,17648,"['3,1', '3,4', '2,4', '4,2', '4,1']"
264961,blue,10950,"['0,0', '0,1', '0,3', '0,4', '1,1', '2,2', '3,2', '4,2', '5,2']"
264961,blue,13565,"['2,1', '2,5', '1,5', '3,2', '3,3']"
264961,blue,14000,"['2,1', '2,4', '3,3', '4,2']"
264961,blue,7246,"['0,2', '0,3', '0,1', '0,5', '1,3', '3,2']"
264961,blue,8232,"['2,1', '2,2', '1,1', '2,0', '2,5', '2,6', '5,1', '3,2']"
264961,blue,1710,"['0,1', '0,4', '0,5', '1,1', '1,2', '0,0', '4,1']"
264961,blue,5663,"['0,0', '0,1', '0,4', '1,0', '1,4', '1,1', '2,1']"
264961,blue,10934,"['1,1', '1,5', '1,2', '4,3', '3,3', '0,1', '2,2']"
312574,white,5663,"['0,0', '4,0', '4,4', '0,4', '1,1', '3,3', '6,6', '4,1']"
312574,white,14000,"['0,6', '6,0', '2,2', '3,1', '0,0', '2,1', '3,4', '6,5', '6,1', '4,2']"
312574,white,10950,"['0,4', '0,4', '0,5', '0,5', '0,5', '6,6', '6,5', '6,5', '6,4', '6,2', '5,2', '0,0', '0,1']"
312574,white,8232,"['0,0', '6,6', '2,1', '2,5', '2,2', '4,1', '4,5', '3,3']"
312574,white,7246,"['0,1', '0,6', '3,1', '3,2', '1,2', '0,2', '0,2', '0,2', '2,2', '4,3', '4,5', '2,3', '0,5']"
312574,white,10934,"['1,1', '1,5', '6,5', '6,1', '3,3', '4,3', '0,6', '6,0', '2,3', '5,3', '4,4']"
312574,white,2290,"['2,4', '5,4', '5,5', '2,5', '6,3', '6,6', '1,6', '1,3', '6,2', '1,2']"
312574,white,1710,"['0,0', '0,5', '4,4', '4,1', '0,1', '3,4', '2,3']"
312574,white,13565,"['3,2', '3,4', '4,1', '2,1', '2,6', '2,6', '2,5', '4,5', '0,3', '2,6', '3,5', '3,5', '3,5']"
312574,white,17648,"['3,1', '3,4', '5,4', '5,1', '4,1', '4,3', '4,2', '4,3', '4,1', '4,1', '2,1']"
312574,blue,13565,"['2,1', '4,1', '4,5', '3,3', '5,6', '1,3', '2,5', '2,5', '2,5', '2,3', '2,2', '4,4']"
312574,blue,7246,"['0,1', '0,6', '4,2', '4,5', '3,2', '1,2', '0,5', '2,5', '1,5', '1,3']"
312574,blue,10950,"['0,0', '0,2', '0,4', '0,5', '6,5', '0,5', '0,5', '0,5', '0,5', '6,5', '6,5', '6,4', '4,4', '2,0', '1,0', '5,4', '5,2', '3,2', '4,2', '5,3']"
312574,blue,5663,"['1,5', '1,1', '1,3', '3,3', '3,1', '4,4', '4,4', '4,4', '4,4', '4,4', '4,0', '0,0', '0,4']"
312574,blue,2290,"['1,3', '1,6', '6,6', '6,3', '5,5', '2,5']"
312574,blue,1710,"['0,1', '3,4', '0,4', '3,1', '4,0', '0,5', '4,2']"
312574,blue,14000,"['6,1', '4,1', '5,1', '6,4', '6,5', '5,3', '5,1', '5,1', '5,1', '5,1', '6,4', '6,4', '6,4', '6,4', '2,4']"
312574,blue,17648,"['4,1', '4,1', '4,1', '4,4', '4,3', '5,4']"
312574,blue,10934,"['4,3', '6,3', '2,3', '1,5', '1,1']"
312574,blue,8232,"['2,1', '3,2', '2,2', '3,5', '1,4', '3,0', '4,6', '5,5']"
353818,white,14000,"['2,4', '2,4', '2,3', '2,4', '6,6', '6,1', '3,3', '1,3', '6,0', '2,1', '3,1', '2,1', '3,4']"
353818,white,2290,"['1,4', '0,5', '2,3', '2,4', '5,4', '6,3', '6,6']"
353818,white,13565,"['0,2', '1,1', '2,1', '1,1', '3,2', '2,0', '1,1', '3,1', '5,1']"
353818,white,10934,"['1,1', '0,0', '6,0', '6,1', '3,3', '0,3', '1,6', '1,5', '1,5', '1,5']"
353818,white,17648,"['3,1', '4,1', '5,1', '6,0', '6,3', '0,3', '2,4', '3,4', '5,4', '5,5', '4,2', '4,2', '4,2']"
353818,white,8232,"['2,1', '4,1', '3,1', '3,3', '5,0', '1,4', '2,5', '2,6', '5,3']"
353818,white,10950,"['0,5', '0,6', '0,0', '0,1', '1,0', '1,1', '0,4', '6,0']"
353818,white,1710,"['0,1', '3,1', '4,1', '0,5', '0,0', '0,3', '0,2', '0,4', '1,2']"
353818,white,5663,"['0,0', '0,4', '4,4', '4,0', '1,1', '1,5', '0,1', '0,2', '0,5', '3,4', '5,2', '6,2']"
353818,white,7246,"['0,0', '0,2', '0,5', '0,6', '1,2', '1,3', '4,2', '3,2', '0,1']"
353818,blue,8232,"['0,0', '1,0', '5,0', '5,6', '2,1', '2,2', '2,1', '2,1', '2,1', '2,1', '2,5', '2,6', '3,1', '3,2', '4,1', '5,2']"
353818,blue,17648,"['3,1', '4,1', '3,4', '4,2']"
353818,blue,5663,"['0,0', '4,0', '4,4', '0,4', '1,1', '1,0']"
353818,blue,13565,"['0,0', '1,0', '5,0', '2,1', '2,1', '2,1', '2,5', '4,5', '3,2']"
353818,blue,14000,"['0,0', '1,0', '2,5', '2,1', '6,1', '2,4', '6,4']"
353818,blue,7246,"['0,0', '0,1', '4,0', '0,2', '3,2', '2,2', '3,2', '3,2', '1,2', '0,6', '0,5', '2,4']"
353818,blue,10950,"['0,5', '0,6', '0,0', '6,0', '6,4', '0,4', '0,1', '1,1', '1,2', '1,1']"
353818,blue,10934,"['0,0', '6,0', '0,6', '3,3', '1,1', '1,5', '5,5', '6,5', '3,2']"
353818,blue,1710,"['0,0', '4,0', '4,6', '0,5', '0,1', '4,4', '3,3', '3,4', '4,4', '1,3']"
353818,blue,2290,"['0,0', '1,2', '1,3', '6,3', '6,4', '2,4', '2,5']"
361840,white,1710,"['6,0', '0,2', '3,4', '3,2', '2,3', '0,4', '3,1', '1,4', '2,4', '0,1', '3,5', '3,0']"
361840,white,13565,"['3,2', '3,6', '3,0', '2,1', '2,5', '4,5', '4,1', '5,5', '1,5', '2,4']"
361840,white,10934,"['6,1', '1,1', '1,5', '6,5', '6,6', '6,0', '0,1', '3,3', '4,3', '2,2']"
361840,white,14000,"['2,1', '3,4', '3,5', '1,1', '3,0', '3,1', '5,1', '6,2', '3,2']"
361840,white,5663,"['0,5', '5,4', '3,5', '0,0', '0,4', '1,1', '3,1', '4,1']"
361840,white,8232,"['2,0', '1,1', '2,6', '5,1', '2,1', '2,5']"
361840,white,2290,"['1,2', '0,3', '6,2', '1,3', '6,6', '2,5']"
361840,white,17648,"['2,1', '6,1', '4,5', '4,1', '4,4', '3,1', '3,4', '4,3']"
361840,white,7246,"['4,2', '3,6', '3,1', '2,2', '0,2', '1,2', '1,5', '3,5', '1,4']"
361840,white,10950,"['0,5', '6,5', '0,0', '0,4', '6,4', '0,1', '1,1']"
361840,blue,17648,"['2,1', '5,5', '4,1', '3,1', '3,4', '4,2']"
361840,blue,2290,"['0,3', '6,2', '1,3', '6,3', '6,6', '2,4']"
361840,blue,7246,"['4,1', '4,6', '0,1', '0,2', '3,5', '3,5', '2,5', '3,2', '1,4']"
361840,blue,10934,"['1,1', '6,5', '3,2']"
361840,blue,14000,"['2,1', '6,4', '6,4', '6,3', '4,4']"
361840,blue,5663,"['0,0', '4,4', '0,1', '1,0', '1,1']"
361840,blue,10950,"['0,1', '6,3', '0,0', '0,0', '0,0', '6,4', '4,2', '3,1']"
361840,blue,13565,"['2,1', '4,5', '3,2']"
361840,blue,1710,"['0,1', '3,4', '2,2']"
361840,blue,8232,"['2,1', '4,5', '2,2', '4,4', '5,5', '3,5']"
420848,white,13565,"['2,1', '3,3', '2,5', '4,1', '2,3', '4,3', '4,5', '5,3', '3,6', '4,3', '4,2', '3,0']"
420848,white,10934,"['3,3', '4,3', '1,5', '6,1', '1,1', '6,5', '0,1', '3,0', '4,4']"
420848,white,7246,"['4,1', '4,6', '3,2', '1,2', '0,6', '0,6', '0,5', '2,5', '1,6', '4,3', '1,1', '4,5']"
420848,white,5663,"['2,2', '5,5', '0,5', '5,0', '4,0', '0,4', '1,1', '1,1', '0,0', '5,4', '5,4', '4,3', '1,4']"
420848,white,2290,"['0,3', '1,2', '1,3', '6,6', '6,6', '6,5', '1,6', '2,4']"
420848,white,14000,"['1,5', '1,0', '5,4', '5,1', '6,5', '6,5', '4,5', '0,2', '1,3', '1,3', '2,3', '2,1', '0,2', '5,4', '5,1', '6,2', '6,4', '1,0', '4,1', '4,1', '4,0', '4,2', '4,2', '5,2', '3,3', '3,3', '1,5', '4,5', '3,1', '4,5', '4,5', '1,5', '1,5', '2,5']"
420848,white,1710,"['3,5', '3,0', '3,1', '0,4', '3,0', '2,0', '2,0', '4,1', '2,2']"
420848,white,10950,"['6,5', '0,5', '3,5', '0,5', '0,4', '0,3', '1,1']"
420848,white,17648,"['2,5', '6,0', '4,1', '2,2', '2,2', '3,2', '4,3']"
420848,white,8232,"['5,6', '1,0', '2,1', '3,5', '2,4', '1,3', '3,3', '5,3']"
420848,blue,7246,"['0,3', '0,3', '0,2', '0,3', '1,3', '3,2', '2,2', '2,2', '0,2', '3,2', '3,5', '2,2', '3,2', '3,5', '2,2', '4,2', '3,2', '4,2', '3,3', '2,3', '2,2']"
420848,blue,10934,"['2,2', '2,2', '2,2', '2,2', '1,1', '6,1', '1,5', '2,3']"
420848,blue,17648,"['3,1', '4,4', '5,1', '4,3']"
420848,blue,8232,"['2,1', '4,1', '3,1', '4,6', '3,3', '4,6', '2,5']"
420848,blue,14000,"['2,1', '6,1', '6,4', '3,2']"
420848,blue,13565,"['2,1', '3,3', '4,5']"
420848,blue,10950,"['0,4', '5,4', '6,4', '6,0', '3,2', '1,1']"
420848,blue,1710,"['3,1', '3,4', '0,4', '1,2', '4,3']"
420848,blue,2290,"['1,3', '2,4', '6,3', '5,5']"
420848,blue,5663,"['4,4', '3,3', '0,0', '1,1', '4,0', '0,4', '1,3', '3,0', '2,0', '3,0', '2,4', '3,1', '4,1', '4,1', '3,0', '0,3']"
433912,white,13565,"['2,1', '1,1', '4,1', '3,2', '3,3', '3,5', '3,6', '5,3', '0,1', '3,4', '3,1']"
433912,white,17648,"['3,1', '4,1', '4,2', '4,3', '5,1', '3,4', '3,5', '6,1', '2,2']"
433912,white,7246,"['0,2', '1,2', '2,2', '3,2', '3,3', '2,3', '4,2', '4,3', '4,2', '4,3', '4,2', '1,6', '3,0', '2,5', '2,0', '3,1']"
433912,white,8232,"['2,1', '1,1', '5,1', '3,1', '3,5']"
433912,white,10950,"['0,1', '0,4', '1,1']"
433912,white,2290,"['0,4', '0,4', '1,4', '1,3', '6,6', '6,3', '2,4', '5,5', '4,2']"
433912,white,14000,"['6,4', '6,5', '4,1', '4,1', '4,2', '1,2', '3,4', '5,4', '3,3', '2,3', '6,4', '3,1']"
433912,white,5663,"['0,0', '4,0', '4,4', '0,4', '3,1', '5,0', '3,4']"
433912,white,10934,"['1,1', '6,1', '6,5', '1,5', '6,6', '6,3', '1,3', '6,6', '3,3', '3,3', '3,3', '2,1', '1,4', '4,4', '4,3', '4,2']"
433912,white,1710,"['0,1', '0,4', '3,4', '3,1', '2,2', '2,3', '1,3', '1,2', '1,0', '4,2', '2,5']"
433912,blue,13565,"['1,1', '2,1', '1,1', '1,1', '1,1', '2,1', '2,1', '3,2', '2,5', '4,1', '4,5', '3,4', '3,5', '5,1']"
433912,blue,17648,"['3,1', '4,1', '5,1', '4,2', '6,1', '2,1', '3,4']"
433912,blue,7246,"['0,2', '0,5', '0,6', '1,5']"
433912,blue,2290,"['1,3', '1,2', '0,3', '1,4', '6,2', '1,2', '1,5', '2,4', '2,3', '2,3', '2,3', '2,3', '1,4', '1,4', '2,3', '2,3', '2,3', '1,6', '6,3']"
